order_id,customer_id,product_id,payment_id,order_date,quantity,total_amount
1,1,1,1,2025-08-19 07:35:08.364172,5,144.76
2,2,2,2,2026-03-11 07:35:08.364262,1,360.85
3,3,3,3,2025-12-08 07:35:08.364480,5,57.39
4,4,4,4,2026-06-21 07:35:08.364521,2,355.24
5,5,5,5,2025-10-31 07:35:08.364561,2,338.39
6,6,6,6,2026-04-14 07:35:08.364600,5,1238.04
7,7,7,7,2025-10-06 07:35:08.364636,4,156.84
8,8,8,8,2026-01-17 07:35:08.364679,5,176.78
9,9,9,9,2026-03-19 07:35:08.364719,5,153.82
10,10,10,10,2026-07-22 07:35:08.364757,1,767.26
11,11,11,11,2025-10-23 07:35:08.364799,2,978.42
12,12,12,12,2025-12-12 07:35:08.364836,1,497.62
13,13,13,13,2026-02-12 07:35:08.364873,1,1070.52
14,14,14,14,2025-12-23 07:35:08.364911,3,811.34
15,15,15,15,2025-10-30 07:35:08.364950,4,366.82
16,16,16,16,2026-05-07 07:35:08.364988,4,69.58
17,17,17,17,2026-04-11 07:35:08.365024,1,449.31
18,18,18,18,2025-09-30 07:35:08.365061,1,261.42
19,19,19,19,2025-08-23 07:35:08.365098,3,215.42
20,20,20,20,2025-11-14 07:35:08.365134,3,234.56
21,21,21,21,2026-05-24 07:35:08.365181,3,269.18
22,22,22,22,2026-07-05 07:35:08.365217,1,962.34
23,23,23,23,2026-06-23 07:35:08.365253,2,679.5
24,24,24,24,2025-08-16 07:35:08.365289,2,1351.5
25,25,25,25,2026-05-01 07:35:08.365328,3,976.68
26,26,26,26,2026-04-08 07:35:08.365365,1,356.97
27,27,27,27,2026-03-20 07:35:08.365433,2,1028.88
28,28,28,28,2026-04-25 07:35:08.365484,3,492.28
29,29,29,29,2026-05-29 07:35:08.365525,3,132.87
30,30,30,30,2025-09-19 07:35:08.365563,5,671.64
31,31,31,31,2026-05-06 07:35:08.365601,1,453.32
32,32,32,32,2025-09-22 07:35:08.365642,1,164.4
33,33,33,33,2025-12-26 07:35:08.365682,2,331.47
34,34,34,34,2025-09-21 07:35:08.365720,5,674.22
35,35,35,35,2025-12-18 07:35:08.365758,1,437.64
36,36,36,36,2025-12-31 07:35:08.365794,4,246.64
37,37,37,37,2026-03-01 07:35:08.365833,4,39.14
38,38,38,38,2026-05-27 07:35:08.365870,5,601.62
39,39,39,39,2025-12-11 07:35:08.365912,3,198.1
40,40,40,40,2025-09-01 07:35:08.365949,1,499.95
41,41,41,41,2026-05-07 07:35:08.365987,5,1423.2
42,42,42,42,2026-04-21 07:35:08.366027,1,1364.79
43,43,43,43,2025-11-14 07:35:08.366064,3,180.13
44,44,44,44,2025-11-26 07:35:08.366103,4,192.62
45,45,45,45,2026-02-15 07:35:08.366142,2,755.46
